indicator_id,indicator_name,unit,frequency,week_ending,US_value,US_prior,US_wow_pct,EA_value,EA_prior,EA_wow_pct,SG_value,SG_prior,SG_wow_pct,CN_value,CN_prior,CN_wow_pct,IN_value,IN_prior,IN_wow_pct,SL_value,SL_prior,SL_wow_pct,ingested_at
F2,FX vs USD (WoW %),% WoW,Weekly,2025-04-25,99.47000122070312,99.37999725341797,0.0906,1.1371906995773315,1.1396790742874146,-0.2183,1.3122899532318115,1.3102999925613403,-0.1519,7.285999774932861,7.3119001388549805,0.3542,85.2573013305664,85.62049865722656,0.4242,296.6634826660156,295.19866943359375,-0.4962,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-02,100.0,99.47000122070312,0.5328,1.1296498775482178,1.1371906995773315,-0.6631,1.3107600212097168,1.3122899532318115,0.1166,7.270599842071533,7.285999774932861,0.2114,84.69670104980469,85.2573013305664,0.6575,297.1692810058594,296.6634826660156,-0.1705,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-09,100.33999633789062,100.0,0.34,1.122422695159912,1.1296498775482178,-0.6398,1.300510048866272,1.3107600212097168,0.782,7.225200176239014,7.270599842071533,0.6244,86.08219909667969,84.69670104980469,-1.6358,295.802001953125,297.1692810058594,0.4601,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-16,101.08999633789062,100.33999633789062,0.7475,1.1192693710327148,1.122422695159912,-0.2809,1.2966200113296509,1.300510048866272,0.2991,7.206500053405762,7.225200176239014,0.2588,85.44490051269531,86.08219909667969,0.7403,295.5722351074219,295.802001953125,0.0777,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-23,99.11000061035156,101.08999633789062,-1.9586,1.1281843185424805,1.1192693710327148,0.7965,1.2920399904251099,1.2966200113296509,0.3532,7.203700065612793,7.206500053405762,0.0389,85.97489929199219,85.44490051269531,-0.6203,295.9132995605469,295.5722351074219,-0.1154,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-05-30,99.33000183105469,99.11000061035156,0.222,1.1378376483917236,1.1281843185424805,0.8557,1.2862499952316284,1.2920399904251099,0.4481,7.203700065612793,7.203700065612793,-0.0,85.36129760742188,85.97489929199219,0.7137,296.3419189453125,295.9132995605469,-0.1448,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-06,99.19000244140625,99.33000183105469,-0.1409,1.1453834772109985,1.1378376483917236,0.6632,1.2862199544906616,1.2862499952316284,0.0023,7.175000190734863,7.203700065612793,0.3984,85.87750244140625,85.36129760742188,-0.6047,296.11181640625,296.3419189453125,0.0776,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-13,98.18000030517578,99.19000244140625,-1.0182,1.1600254774093628,1.1453834772109985,1.2783,1.2781599760055542,1.2862199544906616,0.6266,7.192800045013428,7.175000190734863,-0.2481,85.68840026855469,85.87750244140625,0.2202,296.0225524902344,296.11181640625,0.0301,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-20,98.70999908447266,98.18000030517578,0.5398,1.1512778997421265,1.1600254774093628,-0.7541,1.2848999500274658,1.2781599760055542,-0.5273,7.188000202178955,7.192800045013428,0.0667,86.58380126953125,85.68840026855469,-1.045,297.318359375,296.0225524902344,-0.4377,2026-06-09T07:12:51.110958
F2,FX vs USD (WoW %),% WoW,Weekly,2025-06-27,97.4000015258789,98.70999908447266,-1.3271,1.1692214012145996,1.1512778997421265,1.5586,1.2752900123596191,1.2848999500274658,0.7479,7.167500019073486,7.188000202178955,0.2852,85.66639709472656,86.58380126953125,1.0596,296.49896240234375,297.318359375,0.2756,2026-06-09T07:12:51.110958
